Palavra;Peso;Classe favorecida
504;-0.013520311012027919;Verdadeira
5046512;-0.04476290902230309;Verdadeira
5063130;-0.009895949225706534;Verdadeira
5083360;0.0;Neutra
51;0.002548594149105219;Fake
510;-0.02681973341453022;Verdadeira
512;-0.022476335292218014;Verdadeira
513;0.08712442908358156;Fake
515;0.033557847695965454;Fake
52;0.11261848742077171;Fake
528;-0.03363227525857821;Verdadeira
53;0.04959209193726328;Fake
530;-0.003498332044331144;Verdadeira
538;-0.05237791746721633;Verdadeira
54;-0.17320095927144455;Verdadeira
540;0.018287923987990368;Fake
541;-0.03922551242230212;Verdadeira
55;0.04844151787160834;Fake
550;-0.07813241233002467;Verdadeira
555;-0.012788964661216066;Verdadeira
56;0.1575851203026673;Fake
560;0.006146146352076427;Fake
57;-0.2393953008844382;Verdadeira
570;-0.006189951472787874;Verdadeira
578;0.0121610721359045;Fake
579;-3.0357660829594124e-18;Verdadeira
58;0.003453486773767798;Fake
580;-0.10747856881116914;Verdadeira
586;-0.0266040261992569;Verdadeira
587;0.0;Neutra
59;-0.04323705314700483;Verdadeira
596;0.05915247220416063;Fake
599;-0.0037029102117288356;Verdadeira
5a;-0.06663468856782089;Verdadeira
5g;-0.2113202578938327;Verdadeira
5h;0.0769913609609844;Fake
5h30;-0.03220290748835792;Verdadeira
5o;0.07869413143437926;Fake
60;0.09313356999790856;Fake
600;-0.12313657089434674;Verdadeira
602;0.009212532409407262;Fake
606;-0.026322664106389556;Verdadeira
61;-0.20025206729010817;Verdadeira
610;-0.04855437506099679;Verdadeira
613;-0.014009017267906518;Verdadeira
62;-0.223451426449065;Verdadeira
621;-0.01647742613208817;Verdadeira
627;-0.11461409439914683;Verdadeira
63;0.010058736969741118;Fake
630;0.08203176613228552;Fake
632;-0.037856011175522446;Verdadeira
638;-0.008084048231857219;Verdadeira
64;-0.018273584740384305;Verdadeira
640;-0.007483717355450259;Verdadeira
65;-0.057605181209818224;Verdadeira
650;-0.24788353893325094;Verdadeira
66;-0.05798111096885339;Verdadeira
660;-0.026448900002079768;Verdadeira
666;-6.505213034913027e-19;Verdadeira
667;-0.007169658624787394;Verdadeira
67;-0.028047652041030244;Verdadeira
677;-4.119968255444917e-18;Verdadeira
679;0.0;Neutra
68;0.049138670110674146;Fake
680;2.168404344971009e-19;Fake
688;0.1877491276061994;Fake
689;0.0;Neutra
69;-0.07242276403115257;Verdadeira
690;-0.004192534365366626;Verdadeira
6a;-0.17323911120165655;Verdadeira
6h;-0.022636403207352135;Verdadeira
6h30;-0.06533012457751519;Verdadeira
6h50;0.036440041067732236;Fake
6o;0.028387482259095032;Fake
70;-0.19406361470331487;Verdadeira
700;-0.03244042283507364;Verdadeira
7000;-0.056789691365367864;Verdadeira
702;-0.0036308544671731966;Verdadeira
703;-0.04178896557882486;Verdadeira
70o;-0.031096210302627474;Verdadeira
71;-0.06459116446432865;Verdadeira
72;-0.016391000561001807;Verdadeira
727;-0.030048107218059276;Verdadeira
72a;0.0;Neutra
73;-0.0719688536782134;Verdadeira
732;0.08017830715998588;Fake
737;0.03711765690210749;Fake
738;0.08140075532635277;Fake
74;0.0653886514105383;Fake
746;-0.013858932016496172;Verdadeira
747;0.02953393961120325;Fake
75;-0.29817756815632085;Verdadeira
750;0.013416579374692388;Fake
758;-0.005234488675408203;Verdadeira
76;-0.0965426782939043;Verdadeira
765;-0.10727630539292003;Verdadeira
767;0.2260416571371295;Fake
77;0.02970390619962032;Fake
770;0.0;Neutra
777;-5.421010862427522e-20;Verdadeira
78;-0.17544811025058818;Verdadeira
780;0.00082683878602899;Fake
784;0.0622792856506063;Fake
788;1.0842021724855044e-19;Fake
79;-0.014321045425158245;Verdadeira
792;0.0;Neutra
7a;0.012651577255467202;Fake
7h;-0.028482124886125042;Verdadeira
7h30;-0.009974569355330972;Verdadeira
7h30m;-0.1106599612867728;Verdadeira
7o;0.07995795923300753;Fake
80;0.042140354172055354;Fake
800;-0.07825297341177052;Verdadeira
81;-0.034312745685997834;Verdadeira
810;-0.060911135511339434;Verdadeira
82;-0.20377592081660587;Verdadeira
820;0.08275580685109317;Fake
829;0.14520532346348644;Fake
83;-0.059857132465864465;Verdadeira
833;-0.017517630386899637;Verdadeira
84;-0.0597470380165989;Verdadeira
840;-0.005884218680655492;Verdadeira
85;-0.009894624646138384;Verdadeira
850;0.1290479124633;Fake
85o;-0.006138862075040017;Verdadeira
86;-0.005452419940324138;Verdadeira
87;0.04205345815113185;Fake
874;0.14876352339136914;Fake
88;-0.04026745746481209;Verdadeira
880;-0.05101713741920493;Verdadeira
89;-0.03054843034231255;Verdadeira
897;-0.003066907918734519;Verdadeira
8a;0.1927375900992284;Fake
8h;-0.23995659535205935;Verdadeira
8h30;-0.05248674447176456;Verdadeira
8o;-0.048720194006903444;Verdadeira
90;-0.010064832764668932;Verdadeira
900;-0.012493982317628759;Verdadeira
905;-0.021425234533675744;Verdadeira
91;-0.034829586007457995;Verdadeira
911;-0.03392917029686458;Verdadeira
912;-0.013138353537882367;Verdadeira
918;-0.016146945740501135;Verdadeira
92;0.03329048014050564;Fake
93;-0.07288674257854641;Verdadeira
937;-0.06547863518416965;Verdadeira
94;-0.07412403069093118;Verdadeira
940;-0.01556387571039716;Verdadeira
946;0.014700099806827661;Fake
948;-0.1471211424993546;Verdadeira
949;0.01142380398652789;Fake
95;0.12479424534467991;Fake
950;0.06340850065570937;Fake
958;0.0;Neutra
96;0.015692909187054724;Fake
97;0.06943963044714023;Fake
971;-0.013049093587730213;Verdadeira
973;0.0;Neutra
975;-0.09791291712308871;Verdadeira
979;0.0;Neutra
98;0.0907002400765254;Fake
983;-0.006408057071485077;Verdadeira
984;-0.05642526427445153;Verdadeira
987;0.020988457481658195;Fake
99;0.018653692100720952;Fake
